Loyalty Number,Cluster,Persona,Recency (Months),Total Flights,Distance,Points Redeemed,Salary
238119,4,Active Points Hoarders,0,50,78117,611,75980.0
730388,4,Active Points Hoarders,0,49,76504,0,73455.0
834891,1,Inactive / Zero Flights,999,0,0,0,54460.0
127400,2,Occasional / Declining Flyers,2,29,37546,528,73455.0
324557,4,Active Points Hoarders,0,34,52567,645,73455.0
742002,4,Active Points Hoarders,1,28,54018,537,73455.0
536567,0,High-Value Redeemers,0,56,80852,1245,80697.0
704835,0,High-Value Redeemers,4,40,62292,1447,80697.0
733338,2,Occasional / Declining Flyers,22,3,4497,0,80697.0
758635,2,Occasional / Declining Flyers,0,9,11980,0,80697.0
823048,2,Occasional / Declining Flyers,1,18,17990,0,80697.0
612905,4,Active Points Hoarders,0,35,48796,569,73455.0
679908,4,Active Points Hoarders,0,36,57423,979,77601.0
704150,4,Active Points Hoarders,0,36,45313,966,77601.0
869743,2,Occasional / Declining Flyers,17,15,16548,0,73236.0
596179,4,Active Points Hoarders,1,44,79867,0,50879.0
370450,0,High-Value Redeemers,0,44,56131,1382,62160.0
501030,2,Occasional / Declining Flyers,1,26,32965,0,93541.0
878633,3,Legacy High-Income Churned,0,44,57250,0,163974.0
285938,4,Active Points Hoarders,4,40,63668,607,75827.0
588237,0,High-Value Redeemers,2,33,31726,2056,75827.0
645280,4,Active Points Hoarders,2,43,62923,813,75827.0
864324,0,High-Value Redeemers,1,43,58388,1686,75827.0
124678,4,Active Points Hoarders,1,51,74440,304,152955.0
186015,0,High-Value Redeemers,1,41,60413,1543,152955.0
461108,2,Occasional / Declining Flyers,1,1,1209,0,152955.0
589580,0,High-Value Redeemers,1,52,78121,1159,152955.0
623688,0,High-Value Redeemers,1,54,86566,1839,152955.0
386082,4,Active Points Hoarders,1,40,36882,0,30486.0
256147,4,Active Points Hoarders,2,46,71626,339,73455.0
329382,1,Inactive / Zero Flights,999,0,0,0,73455.0
140392,0,High-Value Redeemers,2,32,45974,1185,96814.0
112522,4,Active Points Hoarders,0,50,69086,0,49846.0
230908,3,Legacy High-Income Churned,2,49,66022,822,217538.0
972581,2,Occasional / Declining Flyers,0,28,30777,1145,48744.0
357549,1,Inactive / Zero Flights,999,0,0,0,76410.0
330694,4,Active Points Hoarders,1,38,67690,500,105053.0
910875,4,Active Points Hoarders,0,32,51583,483,84914.0
501704,0,High-Value Redeemers,1,39,41150,3593,73455.0
529098,0,High-Value Redeemers,1,24,36853,1682,73455.0
265297,2,Occasional / Declining Flyers,0,11,16640,0,60519.0
567875,2,Occasional / Declining Flyers,0,15,24199,0,102457.0
688524,0,High-Value Redeemers,0,24,40288,3244,103862.0
269070,0,High-Value Redeemers,0,42,56484,1300,93153.0
387705,0,High-Value Redeemers,1,45,68743,1626,93153.0
923293,4,Active Points Hoarders,0,41,52419,850,86793.0
283314,1,Inactive / Zero Flights,999,0,0,0,72127.0
322102,1,Inactive / Zero Flights,999,0,0,0,73455.0
789157,2,Occasional / Declining Flyers,1,3,6690,0,73455.0
654748,2,Occasional / Declining Flyers,11,12,16433,0,65721.0
984713,2,Occasional / Declining Flyers,1,5,9871,556,73455.0
114835,2,Occasional / Declining Flyers,0,30,42008,0,101354.0
328936,4,Active Points Hoarders,4,45,64695,906,53118.0
845864,0,High-Value Redeemers,0,41,54793,1376,115440.0
645265,4,Active Points Hoarders,0,32,45483,381,73313.0
223587,4,Active Points Hoarders,0,28,45681,554,100167.0
158560,0,High-Value Redeemers,0,33,47353,1743,59262.0
417584,4,Active Points Hoarders,2,36,52014,607,59262.0
566033,1,Inactive / Zero Flights,999,0,0,0,73455.0
472521,4,Active Points Hoarders,0,47,38492,389,73455.0
425854,4,Active Points Hoarders,6,37,52145,630,39079.0
174896,1,Inactive / Zero Flights,999,0,0,0,73455.0
695855,4,Active Points Hoarders,0,34,44046,436,73455.0
699511,2,Occasional / Declining Flyers,3,28,43734,0,73455.0
377322,0,High-Value Redeemers,1,54,99708,2450,62518.0
511053,2,Occasional / Declining Flyers,0,26,40795,802,62518.0
890753,2,Occasional / Declining Flyers,1,23,39053,723,73455.0
796670,4,Active Points Hoarders,0,45,70442,814,47536.0
556136,4,Active Points Hoarders,0,39,49857,521,73455.0
513081,0,High-Value Redeemers,0,24,35692,2148,98320.0
930718,4,Active Points Hoarders,2,53,66249,1088,63577.0
235872,0,High-Value Redeemers,0,44,56477,1221,89057.0
881142,2,Occasional / Declining Flyers,19,9,9859,870,89057.0
295147,0,High-Value Redeemers,1,32,56656,2024,99814.0
306110,0,High-Value Redeemers,0,29,33602,1639,64587.0
295217,0,High-Value Redeemers,3,29,51310,1767,67411.0
967300,4,Active Points Hoarders,6,36,47688,536,62630.0
591731,4,Active Points Hoarders,0,47,70582,645,51370.0
326905,4,Active Points Hoarders,2,34,53745,704,73455.0
375511,0,High-Value Redeemers,2,50,75498,1436,59300.0
485283,2,Occasional / Declining Flyers,0,19,37817,564,102479.0
920716,4,Active Points Hoarders,0,43,80389,697,73455.0
797685,0,High-Value Redeemers,0,31,47547,1407,73455.0
216467,4,Active Points Hoarders,0,32,47261,920,90995.0
958839,2,Occasional / Declining Flyers,1,9,21320,0,90995.0
539673,2,Occasional / Declining Flyers,10,26,37427,498,49558.0
746226,2,Occasional / Declining Flyers,0,6,4347,0,63501.0
484718,0,High-Value Redeemers,1,36,63812,2102,76367.0
528492,4,Active Points Hoarders,1,41,79740,821,60360.0
995091,2,Occasional / Declining Flyers,0,16,25024,506,55454.0
632793,4,Active Points Hoarders,0,33,39155,506,60370.0
912220,1,Inactive / Zero Flights,999,0,0,0,60370.0
382197,2,Occasional / Declining Flyers,7,13,23750,461,69367.0
705196,0,High-Value Redeemers,0,57,91665,1808,73455.0
123094,2,Occasional / Declining Flyers,0,24,33723,337,92223.0
366540,4,Active Points Hoarders,0,69,127815,1258,90077.0
119488,4,Active Points Hoarders,0,33,38383,0,73455.0
287750,0,High-Value Redeemers,1,48,62074,1694,73455.0
735846,0,High-Value Redeemers,0,40,54771,2199,95318.0
606026,4,Active Points Hoarders,1,50,73750,1084,55207.0
460291,4,Active Points Hoarders,0,41,71374,0,55476.0
743001,0,High-Value Redeemers,0,29,41620,1191,79533.0
869799,4,Active Points Hoarders,2,29,42824,688,79533.0
520321,3,Legacy High-Income Churned,999,0,0,0,237245.0
279419,0,High-Value Redeemers,0,81,132093,4221,73455.0
170585,4,Active Points Hoarders,0,34,51002,405,82675.0
188340,0,High-Value Redeemers,0,51,60772,1382,82675.0
670817,4,Active Points Hoarders,0,44,64176,682,82675.0
509513,4,Active Points Hoarders,0,49,93408,576,73455.0
779247,4,Active Points Hoarders,0,50,57896,536,86987.0
111255,4,Active Points Hoarders,0,48,65856,0,70272.0
763061,2,Occasional / Declining Flyers,7,16,28415,515,56845.0
766335,4,Active Points Hoarders,1,31,46984,509,67756.0
428919,4,Active Points Hoarders,2,35,54829,0,58209.0
139863,4,Active Points Hoarders,0,30,56645,857,67223.0
695755,1,Inactive / Zero Flights,999,0,0,0,79088.0
355331,0,High-Value Redeemers,0,51,75018,2592,73455.0
578837,2,Occasional / Declining Flyers,4,25,34177,1028,73455.0
603248,1,Inactive / Zero Flights,999,0,0,0,73455.0
467182,0,High-Value Redeemers,2,46,64257,1762,102347.0
601407,4,Active Points Hoarders,0,37,56805,0,72809.0
700871,4,Active Points Hoarders,0,39,52323,0,74567.0
203809,1,Inactive / Zero Flights,999,0,0,0,54160.0
705589,4,Active Points Hoarders,0,44,71469,426,73455.0
354438,2,Occasional / Declining Flyers,1,12,20632,328,73455.0
746060,4,Active Points Hoarders,0,44,67731,421,73455.0
469718,4,Active Points Hoarders,1,36,42419,584,73544.0
164429,0,High-Value Redeemers,1,38,53549,2221,57852.0
708373,4,Active Points Hoarders,0,42,47709,0,57852.0
225088,4,Active Points Hoarders,0,32,48849,0,97991.0
100214,2,Occasional / Declining Flyers,0,22,38236,861,63253.0
459999,2,Occasional / Declining Flyers,1,25,35447,694,53465.0
553936,1,Inactive / Zero Flights,999,0,0,0,53465.0
268128,4,Active Points Hoarders,2,47,79339,992,47663.0
930584,4,Active Points Hoarders,0,43,51360,468,73455.0
327796,4,Active Points Hoarders,1,28,49694,380,73455.0
947467,0,High-Value Redeemers,0,39,56203,1848,49937.0
743510,4,Active Points Hoarders,0,32,48149,417,73455.0
580324,2,Occasional / Declining Flyers,1,22,39372,1089,61113.0
845613,2,Occasional / Declining Flyers,0,3,4701,687,54297.0
645919,4,Active Points Hoarders,0,42,57252,0,66297.0
423324,2,Occasional / Declining Flyers,3,10,8177,0,69599.0
101945,0,High-Value Redeemers,0,39,63004,1219,86098.0
713636,4,Active Points Hoarders,4,29,43118,547,48109.0
302509,2,Occasional / Declining Flyers,0,27,41366,0,74238.0
789421,2,Occasional / Declining Flyers,5,30,41637,0,73455.0
914255,1,Inactive / Zero Flights,999,0,0,0,73455.0
675879,4,Active Points Hoarders,0,81,114998,541,78617.0
404426,0,High-Value Redeemers,0,25,41905,1445,99696.0
260106,2,Occasional / Declining Flyers,21,6,10579,0,88876.0
827194,0,High-Value Redeemers,1,44,68440,1158,71450.0
438023,2,Occasional / Declining Flyers,1,26,29121,0,73455.0
397518,2,Occasional / Declining Flyers,3,16,27719,0,76056.0
645742,1,Inactive / Zero Flights,999,0,0,0,76056.0
872932,4,Active Points Hoarders,0,42,50635,448,72685.0
407945,4,Active Points Hoarders,0,49,89236,1053,75108.0
211714,0,High-Value Redeemers,0,49,59866,3025,103572.0
410982,0,High-Value Redeemers,0,42,62797,2156,132353.0
905213,0,High-Value Redeemers,4,32,55483,1694,132353.0
147898,0,High-Value Redeemers,1,36,58630,1443,59849.0
530105,2,Occasional / Declining Flyers,6,15,26318,1222,73455.0
610946,0,High-Value Redeemers,0,45,58573,3141,56947.0
383108,4,Active Points Hoarders,0,39,50131,357,64497.0
836343,4,Active Points Hoarders,2,33,43962,559,64497.0
110262,4,Active Points Hoarders,0,45,76551,808,52267.0
585357,0,High-Value Redeemers,3,51,84589,1935,73455.0
784804,2,Occasional / Declining Flyers,0,24,38122,0,73455.0
719633,1,Inactive / Zero Flights,999,0,0,0,52109.0
715764,0,High-Value Redeemers,1,23,33681,2026,73455.0
753473,4,Active Points Hoarders,0,50,64862,0,70996.0
980856,0,High-Value Redeemers,1,39,71857,1708,70996.0
271660,2,Occasional / Declining Flyers,4,25,38059,0,73455.0
342980,4,Active Points Hoarders,0,29,52358,0,69086.0
830547,2,Occasional / Declining Flyers,0,10,12763,0,51111.0
264936,4,Active Points Hoarders,0,40,45417,539,73455.0
436498,1,Inactive / Zero Flights,999,0,0,0,73455.0
976513,0,High-Value Redeemers,0,44,68242,1468,92067.0
828776,2,Occasional / Declining Flyers,0,31,30571,0,60899.0
240362,0,High-Value Redeemers,4,26,49435,1523,58756.0
137845,4,Active Points Hoarders,0,50,73942,1012,88445.0
430569,0,High-Value Redeemers,0,67,98124,1759,87462.0
317001,2,Occasional / Declining Flyers,0,4,8918,1369,61809.0
625870,4,Active Points Hoarders,0,45,63589,546,61809.0
660554,2,Occasional / Declining Flyers,0,17,25161,1258,61809.0
917630,4,Active Points Hoarders,2,28,47734,0,61809.0
670686,2,Occasional / Declining Flyers,2,24,36605,0,73455.0
717660,2,Occasional / Declining Flyers,1,26,31392,0,73455.0
450621,2,Occasional / Declining Flyers,1,24,28677,407,77083.0
939562,4,Active Points Hoarders,0,61,95807,400,95467.0
135250,4,Active Points Hoarders,0,34,48296,734,88089.0
714555,4,Active Points Hoarders,0,45,69030,1087,64387.0
947868,4,Active Points Hoarders,0,35,58323,1031,96733.0
573661,2,Occasional / Declining Flyers,0,5,5050,0,86098.0
228580,0,High-Value Redeemers,0,34,42744,2307,54643.0
557500,0,High-Value Redeemers,0,43,63888,2077,49606.0
238233,2,Occasional / Declining Flyers,0,24,34793,0,85577.0
979309,4,Active Points Hoarders,0,32,49776,818,63654.0
342483,4,Active Points Hoarders,0,51,89628,448,73455.0
833569,2,Occasional / Declining Flyers,1,22,36644,458,73455.0
120046,2,Occasional / Declining Flyers,0,18,26202,1339,56411.0
816881,4,Active Points Hoarders,1,46,44956,999,56411.0
717700,0,High-Value Redeemers,0,49,66037,2047,62093.0
384146,4,Active Points Hoarders,0,43,57117,0,48890.0
245465,0,High-Value Redeemers,0,45,68549,1609,69818.0
510372,2,Occasional / Declining Flyers,1,1,1285,0,73455.0
709920,2,Occasional / Declining Flyers,0,29,32212,506,82427.0
156031,1,Inactive / Zero Flights,999,0,0,0,84981.0
143784,0,High-Value Redeemers,0,45,60209,1172,76159.0
602176,2,Occasional / Declining Flyers,7,22,38288,1091,76159.0
870998,0,High-Value Redeemers,0,47,66987,1331,76159.0
958224,4,Active Points Hoarders,0,40,67473,434,76159.0
837628,4,Active Points Hoarders,0,33,48258,644,60928.0
395460,4,Active Points Hoarders,0,40,62296,1075,73455.0
136547,4,Active Points Hoarders,0,39,62228,0,92131.0
780631,2,Occasional / Declining Flyers,0,3,4362,0,92131.0
166712,4,Active Points Hoarders,1,39,64052,486,114551.0
217695,0,High-Value Redeemers,3,41,74109,1595,114551.0
263707,2,Occasional / Declining Flyers,3,18,28142,484,114551.0
638368,4,Active Points Hoarders,1,37,60912,0,114551.0
695529,0,High-Value Redeemers,1,41,52457,1245,114551.0
871203,2,Occasional / Declining Flyers,0,24,33794,800,114551.0
915571,2,Occasional / Declining Flyers,1,21,41481,510,114551.0
642109,4,Active Points Hoarders,1,46,60699,816,94908.0
833701,0,High-Value Redeemers,3,34,49776,1076,73455.0
275442,0,High-Value Redeemers,1,37,49822,1164,87262.0
374345,0,High-Value Redeemers,0,51,79256,1876,87262.0
384825,0,High-Value Redeemers,1,41,71693,1324,87262.0
559233,2,Occasional / Declining Flyers,1,4,4308,730,87262.0
564650,0,High-Value Redeemers,1,35,57097,1897,87262.0
277649,0,High-Value Redeemers,0,39,51123,1985,94838.0
176885,1,Inactive / Zero Flights,999,0,0,0,90142.0
732013,0,High-Value Redeemers,0,40,62885,1265,90142.0
793318,0,High-Value Redeemers,0,41,71191,1204,73455.0
830024,0,High-Value Redeemers,1,31,40015,1172,73455.0
223684,2,Occasional / Declining Flyers,2,2,4014,0,74964.0
723262,2,Occasional / Declining Flyers,0,5,4782,0,74964.0
879892,2,Occasional / Declining Flyers,0,18,22819,0,71797.0
966117,0,High-Value Redeemers,1,35,48144,2422,71797.0
258358,2,Occasional / Declining Flyers,21,8,17559,0,73455.0
265836,4,Active Points Hoarders,1,28,46733,787,64692.0
474174,3,Legacy High-Income Churned,10,31,39281,825,218703.0
474172,1,Inactive / Zero Flights,999,0,0,0,50951.0
202299,3,Legacy High-Income Churned,0,34,50186,550,245427.0
497467,3,Legacy High-Income Churned,0,38,51682,438,245427.0
971902,1,Inactive / Zero Flights,999,0,0,0,73455.0
134279,2,Occasional / Declining Flyers,0,12,16236,565,78573.0
474757,1,Inactive / Zero Flights,999,0,0,0,78573.0
635225,0,High-Value Redeemers,0,41,58466,1191,78573.0
980198,2,Occasional / Declining Flyers,1,23,39983,978,78573.0
995693,2,Occasional / Declining Flyers,0,9,14812,0,78573.0
861924,4,Active Points Hoarders,1,30,45189,1023,73455.0
639383,2,Occasional / Declining Flyers,0,5,9464,0,46978.0
769731,0,High-Value Redeemers,0,28,35823,1252,61040.0
884530,2,Occasional / Declining Flyers,0,12,19909,372,61040.0
207372,2,Occasional / Declining Flyers,0,27,40811,0,93733.0
236300,1,Inactive / Zero Flights,999,0,0,0,55522.0
543553,2,Occasional / Declining Flyers,0,2,4950,0,72027.0
639701,0,High-Value Redeemers,0,45,66420,1537,72027.0
998090,0,High-Value Redeemers,3,34,48822,1559,51427.0
283747,0,High-Value Redeemers,1,42,62670,2403,73455.0
863122,2,Occasional / Declining Flyers,0,22,36570,484,52922.0
816593,0,High-Value Redeemers,1,38,62856,1909,73455.0
440939,4,Active Points Hoarders,0,32,56666,0,68812.0
531201,1,Inactive / Zero Flights,999,0,0,0,73455.0
585629,4,Active Points Hoarders,1,56,100777,408,73455.0
347932,0,High-Value Redeemers,0,41,69326,1441,78444.0
417886,0,High-Value Redeemers,0,38,52764,1428,91100.0
514900,2,Occasional / Declining Flyers,1,4,5931,0,91100.0
203550,0,High-Value Redeemers,0,30,43641,1965,53610.0
181825,4,Active Points Hoarders,0,51,78928,987,74770.0
261582,0,High-Value Redeemers,1,58,90928,1944,74770.0
679859,2,Occasional / Declining Flyers,2,19,25215,402,74770.0
977693,4,Active Points Hoarders,0,34,46025,732,73455.0
122958,0,High-Value Redeemers,0,59,89490,1631,49512.0
274698,4,Active Points Hoarders,9,29,47450,0,57188.0
443967,4,Active Points Hoarders,2,62,77440,0,73327.0
652291,0,High-Value Redeemers,0,38,54402,1431,96749.0
603775,0,High-Value Redeemers,0,43,58077,1816,73455.0
948404,0,High-Value Redeemers,5,21,28763,2309,86499.0
605877,0,High-Value Redeemers,1,41,72699,1877,73455.0
994377,4,Active Points Hoarders,0,47,85207,569,53530.0
766927,0,High-Value Redeemers,1,53,69021,1194,71936.0
556492,4,Active Points Hoarders,0,95,149782,543,73455.0
702588,0,High-Value Redeemers,0,40,65254,2129,94440.0
798248,4,Active Points Hoarders,1,45,70127,877,94440.0
641448,0,High-Value Redeemers,2,39,49132,2261,83194.0
406047,4,Active Points Hoarders,0,42,61702,399,73455.0
538902,2,Occasional / Declining Flyers,2,15,21004,0,73455.0
855602,4,Active Points Hoarders,0,26,49052,464,60704.0
883242,2,Occasional / Declining Flyers,1,3,6822,0,73455.0
909134,0,High-Value Redeemers,0,36,53261,1214,73455.0
294753,4,Active Points Hoarders,0,40,63409,885,73455.0
606076,1,Inactive / Zero Flights,999,0,0,0,77162.0
120613,0,High-Value Redeemers,0,29,45828,1552,73455.0
520094,0,High-Value Redeemers,0,29,43653,1838,52881.0
754539,2,Occasional / Declining Flyers,1,25,30154,648,73455.0
189611,4,Active Points Hoarders,0,54,72823,448,73455.0
971599,2,Occasional / Declining Flyers,2,25,32565,1081,73455.0
485189,1,Inactive / Zero Flights,999,0,0,0,73455.0
521384,4,Active Points Hoarders,0,39,52051,0,71069.0
128039,4,Active Points Hoarders,0,43,61825,635,94052.0
565133,4,Active Points Hoarders,0,43,75674,472,62202.0
947876,0,High-Value Redeemers,0,46,72531,1445,101171.0
138746,4,Active Points Hoarders,0,29,39739,995,57020.0
564707,4,Active Points Hoarders,0,29,47935,585,57020.0
712114,4,Active Points Hoarders,0,83,146699,503,87293.0
174996,4,Active Points Hoarders,0,42,66517,0,73455.0
798854,2,Occasional / Declining Flyers,1,16,21060,0,73455.0
800075,0,High-Value Redeemers,0,51,60522,1877,62621.0
410384,0,High-Value Redeemers,0,39,56767,1636,73455.0
692304,4,Active Points Hoarders,1,50,81881,1104,73455.0
991672,4,Active Points Hoarders,0,33,61906,976,73455.0
344180,2,Occasional / Declining Flyers,1,22,31743,391,73455.0
703338,2,Occasional / Declining Flyers,0,5,3775,0,73455.0
922388,4,Active Points Hoarders,0,40,72557,824,91236.0
471018,1,Inactive / Zero Flights,999,0,0,0,50047.0
655743,0,High-Value Redeemers,0,43,70808,1975,60806.0
787472,0,High-Value Redeemers,0,36,55887,2006,73455.0
667687,2,Occasional / Declining Flyers,0,2,4376,0,73455.0
348920,4,Active Points Hoarders,0,31,45865,749,95947.0
523394,4,Active Points Hoarders,0,47,66258,721,95947.0
430521,1,Inactive / Zero Flights,999,0,0,0,47639.0
981581,4,Active Points Hoarders,0,44,65989,643,71398.0
639510,4,Active Points Hoarders,2,48,57417,985,73455.0
744675,4,Active Points Hoarders,0,39,57336,0,60757.0
289177,4,Active Points Hoarders,0,33,43107,998,55909.0
271641,4,Active Points Hoarders,1,43,79224,0,73455.0
357149,2,Occasional / Declining Flyers,5,27,40655,882,73455.0
876207,4,Active Points Hoarders,0,40,71037,983,99902.0
224384,0,High-Value Redeemers,1,43,52699,1847,97789.0
650445,4,Active Points Hoarders,0,69,82188,853,79568.0
399982,4,Active Points Hoarders,1,35,40897,689,73455.0
228984,0,High-Value Redeemers,0,31,48466,1509,57254.0
221388,4,Active Points Hoarders,1,36,53419,441,73455.0
710053,4,Active Points Hoarders,0,41,56950,619,49253.0
591576,1,Inactive / Zero Flights,999,0,0,0,73455.0
696577,0,High-Value Redeemers,3,25,51560,1323,58713.0
836475,4,Active Points Hoarders,0,42,61170,0,75487.0
686223,4,Active Points Hoarders,1,36,36860,409,33651.0
450979,4,Active Points Hoarders,0,33,60330,304,73455.0
392235,0,High-Value Redeemers,1,39,56551,2161,53768.0
529218,0,High-Value Redeemers,0,38,57990,2013,73455.0
549132,2,Occasional / Declining Flyers,0,20,26288,1015,56443.0
782523,2,Occasional / Declining Flyers,1,4,6549,0,56443.0
566343,1,Inactive / Zero Flights,999,0,0,0,73455.0
263729,1,Inactive / Zero Flights,999,0,0,0,94208.0
326561,2,Occasional / Declining Flyers,20,11,21817,0,94208.0
430880,0,High-Value Redeemers,0,37,45310,1125,102644.0
216652,4,Active Points Hoarders,2,51,89910,323,73496.0
561092,0,High-Value Redeemers,1,40,60887,1576,48849.0
234866,0,High-Value Redeemers,0,30,46360,2056,73455.0
721984,0,High-Value Redeemers,2,34,50291,1436,59500.0
772397,4,Active Points Hoarders,1,39,61274,689,80050.0
685792,2,Occasional / Declining Flyers,17,9,18277,0,60582.0
344199,0,High-Value Redeemers,0,34,52765,1380,73455.0
909385,0,High-Value Redeemers,0,31,51905,1755,44510.0
211043,4,Active Points Hoarders,1,50,86456,0,73455.0
459801,0,High-Value Redeemers,0,47,78294,1668,73455.0
958243,0,High-Value Redeemers,0,48,64185,1814,73455.0
517758,3,Legacy High-Income Churned,0,44,65322,0,269011.0
712062,3,Legacy High-Income Churned,0,27,35255,0,269011.0
845945,0,High-Value Redeemers,0,58,95472,1765,98851.0
324707,4,Active Points Hoarders,0,31,49271,976,73455.0
184635,0,High-Value Redeemers,0,34,42278,1318,104581.0
947123,2,Occasional / Declining Flyers,8,8,13080,525,55985.0
432598,4,Active Points Hoarders,1,38,55453,0,67447.0
524483,0,High-Value Redeemers,0,48,71423,1343,67447.0
413445,2,Occasional / Declining Flyers,8,14,29156,1117,68171.0
257575,2,Occasional / Declining Flyers,1,24,29014,499,82460.0
352834,4,Active Points Hoarders,0,34,50688,308,58212.0
127590,4,Active Points Hoarders,0,35,55908,528,80927.0
846374,4,Active Points Hoarders,1,44,60678,1141,48538.0
651054,2,Occasional / Declining Flyers,2,7,11831,672,101280.0
674637,4,Active Points Hoarders,0,45,65448,1022,83167.0
130368,4,Active Points Hoarders,1,39,60011,350,92859.0
752331,4,Active Points Hoarders,0,39,61500,0,85766.0
986825,2,Occasional / Declining Flyers,2,25,45493,615,85766.0
882024,2,Occasional / Declining Flyers,0,7,10161,0,73455.0
981343,0,High-Value Redeemers,0,40,64708,1332,73455.0
101581,0,High-Value Redeemers,1,36,49542,1104,87781.0
321557,1,Inactive / Zero Flights,999,0,0,0,101826.0
390719,1,Inactive / Zero Flights,999,0,0,0,69609.0
329358,2,Occasional / Declining Flyers,0,23,26430,375,89923.0
497494,4,Active Points Hoarders,1,29,45620,1003,59207.0
821379,2,Occasional / Declining Flyers,7,20,29572,738,59207.0
361816,4,Active Points Hoarders,0,46,73552,505,65673.0
517612,1,Inactive / Zero Flights,999,0,0,0,65673.0
734192,0,High-Value Redeemers,3,34,64202,2253,65673.0
774724,0,High-Value Redeemers,0,34,48224,1239,65673.0
984824,4,Active Points Hoarders,1,44,56986,0,94891.0
906396,0,High-Value Redeemers,2,33,65727,1275,73455.0
722976,2,Occasional / Declining Flyers,0,28,32784,771,53315.0
747304,2,Occasional / Declining Flyers,0,22,38775,1006,62030.0
613804,4,Active Points Hoarders,0,34,51586,963,73455.0
995877,2,Occasional / Declining Flyers,0,20,29588,501,73455.0
446968,1,Inactive / Zero Flights,999,0,0,0,102934.0
123928,1,Inactive / Zero Flights,999,0,0,0,52589.0
237105,2,Occasional / Declining Flyers,1,28,40822,0,52589.0
395026,0,High-Value Redeemers,0,59,85200,2288,73455.0
702493,2,Occasional / Declining Flyers,13,17,37705,0,73455.0
894466,4,Active Points Hoarders,0,36,50240,782,80692.0
610393,4,Active Points Hoarders,1,28,45516,440,90071.0
800726,0,High-Value Redeemers,0,39,47349,1189,90071.0
111171,4,Active Points Hoarders,0,45,57660,837,73455.0
133324,4,Active Points Hoarders,0,93,155877,892,62527.0
842064,1,Inactive / Zero Flights,999,0,0,0,73455.0
149542,1,Inactive / Zero Flights,999,0,0,0,89094.0
779434,0,High-Value Redeemers,0,39,57858,1921,73455.0
203184,2,Occasional / Declining Flyers,0,29,33323,632,53204.0
225077,4,Active Points Hoarders,1,35,50362,974,123828.0
365816,4,Active Points Hoarders,1,40,69545,1083,123828.0
781463,4,Active Points Hoarders,0,36,59258,503,123828.0
644786,4,Active Points Hoarders,0,34,56394,363,102899.0
441440,2,Occasional / Declining Flyers,1,27,45164,0,50797.0
756791,4,Active Points Hoarders,2,37,54136,0,73455.0
676676,1,Inactive / Zero Flights,999,0,0,0,73455.0
401858,2,Occasional / Declining Flyers,9,12,19175,353,73455.0
819569,4,Active Points Hoarders,0,39,54941,973,73455.0
428826,2,Occasional / Declining Flyers,0,15,30714,987,63029.0
132563,1,Inactive / Zero Flights,999,0,0,0,73455.0
518533,2,Occasional / Declining Flyers,0,12,22229,0,59369.0
568547,4,Active Points Hoarders,1,38,46042,0,73455.0
761007,1,Inactive / Zero Flights,999,0,0,0,128352.0
