Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,Total Flights,Distance,Points Accumulated,Points Redeemed,Months Active,Last Flight Date,Recency (Months)
988178,Canada,Quebec,Montreal,H4G 3T4,Male,College,73455.0,Single,Star,3871.07,Standard,2013,10,,,63,86527,86527.0,1190,24,2018-12-31,0
286114,Canada,Ontario,Toronto,M2M 7K8,Female,College,73455.0,Single,Star,3872.22,Standard,2016,11,,,26,35769,35769.0,2123,24,2018-11-30,1
205785,Canada,Ontario,Toronto,M2M 6J7,Male,Master,128118.0,Married,Star,3873.65,Standard,2016,8,,,35,51158,51158.0,1233,24,2018-12-31,0
735304,Canada,Alberta,Edmonton,T3G 6Y6,Female,Master,128118.0,Married,Star,3873.65,Standard,2016,12,,,29,44741,44741.0,1053,24,2018-12-31,0
438936,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,94092.0,Married,Star,3878.77,Standard,2013,10,,,52,67379,67379.0,499,24,2018-12-31,0
172755,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,73455.0,Single,Aurora,5303.76,2018 Promotion,2018,3,,,40,43352,65028.0,765,11,2018-12-31,0
354730,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,73455.0,Married,Star,3885.46,Standard,2014,10,2018.0,1.0,20,36872,36872.0,0,24,2017-11-30,13
413741,Canada,Ontario,Toronto,M1R 4K3,Female,College,73455.0,Married,Star,3885.46,Standard,2015,7,,,36,60555,60555.0,1965,24,2018-07-31,5
552965,Canada,Quebec,Montreal,H4G 3T4,Male,College,73455.0,Married,Star,3885.46,Standard,2018,11,,,3,6783,6783.0,0,24,2018-12-31,0
642313,Canada,Alberta,Edmonton,T9G 1W3,Male,College,73455.0,Married,Star,3885.46,Standard,2016,3,,,33,47139,47139.0,1506,24,2018-06-30,6
263080,Canada,Alberta,Edmonton,T9G 1W3,Male,College,73455.0,Single,Star,3886.5,Standard,2014,5,,,29,38374,38374.0,346,24,2018-12-31,0
109767,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,89062.0,Single,Star,3886.65,Standard,2016,5,,,44,66909,66909.0,1752,24,2018-12-31,0
217754,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,102400.0,Single,Star,3887.32,Standard,2015,6,,,32,52110,52110.0,0,24,2018-11-30,1
157005,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,98629.0,Married,Star,3890.87,Standard,2016,10,,,48,66723,66723.0,911,24,2018-11-30,1
557752,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,98629.0,Married,Star,3890.87,Standard,2017,10,,,22,31868,31868.0,1340,24,2018-12-31,0
608758,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,63795.0,Married,Star,3890.96,Standard,2013,7,,,40,60258,60258.0,0,24,2018-12-31,0
599341,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,54890.0,Married,Star,3891.54,Standard,2015,11,,,58,102009,102009.0,1863,24,2018-12-31,0
333502,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,73455.0,Married,Star,3891.58,Standard,2014,3,,,42,60437,60437.0,409,24,2018-12-31,0
201574,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,51375.0,Married,Star,3893.31,Standard,2015,4,2015.0,12.0,0,0,0.0,0,24,,999
403361,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,70222.0,Single,Star,3895.03,Standard,2017,10,,,19,21288,21288.0,0,24,2018-10-31,2
543918,Canada,Quebec,Montreal,H2T 2J6,Male,High School or Below,40736.0,Married,Star,3896.57,Standard,2012,11,,,52,76633,76633.0,3513,24,2018-11-30,1
806030,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,75861.0,Married,Star,3903.47,Standard,2018,5,,,14,26656,26656.0,567,24,2018-12-31,0
119200,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69835.0,Divorced,Star,3903.8,Standard,2017,5,,,31,44595,44595.0,1004,24,2018-11-30,1
938981,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,73455.0,Single,Aurora,5337.35,2018 Promotion,2018,4,,,38,49606,74409.0,0,11,2018-11-30,1
238119,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,75980.0,Married,Star,3906.67,Standard,2013,5,,,50,78117,78117.0,611,24,2018-12-31,0
730388,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,73455.0,Single,Star,3907.03,Standard,2012,5,,,49,76504,76504.0,0,24,2018-12-31,0
834891,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,54460.0,Married,Star,3911.12,Standard,2017,3,2017.0,4.0,0,0,0.0,0,24,,999
127400,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,73455.0,Single,Star,3914.72,Standard,2014,6,,,29,37546,37546.0,528,24,2018-10-31,2
324557,Canada,Quebec,Montreal,H2Y 2W2,Female,College,73455.0,Single,Star,3914.72,Standard,2013,2,,,34,52567,52567.0,645,24,2018-12-31,0
742002,Canada,Ontario,Toronto,P2T 6G3,Female,College,73455.0,Single,Star,3915.8,Standard,2016,5,,,28,54018,54018.0,537,24,2018-11-30,1
536567,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,5,,,56,80852,80852.0,1245,24,2018-12-31,0
704835,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,9,,,40,62292,62292.0,1447,24,2018-08-31,4
733338,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,6,2017.0,2.0,3,4497,4497.0,0,24,2017-01-31,22
758635,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,6,,,9,11980,11980.0,0,24,2018-12-31,0
823048,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,5,,,18,17990,17990.0,0,24,2018-11-30,1
612905,Canada,Ontario,Toronto,P2T 6G3,Female,College,73455.0,Married,Star,3920.51,Standard,2015,2,,,35,48796,48796.0,569,24,2018-12-31,0
679908,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,77601.0,Married,Star,3921.02,Standard,2015,8,,,36,57423,57423.0,979,24,2018-12-31,0
704150,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,77601.0,Married,Star,3921.02,Standard,2014,10,,,36,45313,45313.0,966,24,2018-12-31,0
869743,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,73236.0,Single,Star,3924.42,Standard,2016,11,2017.0,7.0,15,16548,16548.0,0,24,2017-07-31,17
596179,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,50879.0,Single,Star,3933.81,Standard,2014,3,,,44,79867,79867.0,0,24,2018-11-30,1
370450,Canada,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,62160.0,Married,Star,3934.1,Standard,2012,11,,,44,56131,56131.0,1382,24,2018-12-31,0
501030,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,93541.0,Married,Star,3934.71,Standard,2017,3,,,26,32965,32965.0,0,24,2018-11-30,1
878633,Canada,Ontario,Trenton,K8V 4B2,Female,Doctor,163974.0,Married,Star,3936.79,Standard,2013,12,,,44,57250,57250.0,0,24,2018-12-31,0
285938,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2014,9,,,40,63668,63668.0,607,24,2018-08-31,4
588237,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2013,11,,,33,31726,31726.0,2056,24,2018-10-31,2
645280,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2012,12,,,43,62923,62923.0,813,24,2018-10-31,2
864324,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2018,6,,,43,58388,58388.0,1686,24,2018-11-30,1
124678,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2013,6,,,51,74440,74440.0,304,24,2018-11-30,1
186015,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,9,,,41,60413,60413.0,1543,24,2018-11-30,1
461108,Canada,Quebec,Montreal,H2T 9K8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2018,10,,,1,1209,1209.0,0,24,2018-11-30,1
589580,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,8,,,52,78121,78121.0,1159,24,2018-11-30,1
623688,Canada,Ontario,London,M5B 3E4,Female,Doctor,152955.0,Married,Star,3954.34,Standard,2016,5,,,54,86566,86566.0,1839,24,2018-11-30,1
386082,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,30486.0,Divorced,Aurora,5391.97,2018 Promotion,2018,3,2018.0,11.0,40,36882,55323.0,0,11,2018-11-30,1
256147,Canada,Ontario,Toronto,M1R 4K3,Female,College,73455.0,Married,Star,3958.0,Standard,2012,9,,,46,71626,71626.0,339,24,2018-10-31,2
329382,Canada,Quebec,Montreal,H2T 9K8,Male,College,73455.0,Single,Star,3961.59,Standard,2012,8,,,0,0,0.0,0,24,,999
140392,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,96814.0,Married,Star,3963.39,Standard,2013,7,,,32,45974,45974.0,1185,24,2018-10-31,2
112522,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,49846.0,Married,Aurora,5636.74,2018 Promotion,2018,2,,,50,69086,103629.0,0,11,2018-12-31,0
230908,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,217538.0,Divorced,Star,3964.15,Standard,2012,5,,,49,66022,66022.0,822,24,2018-10-31,2
972581,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,48744.0,Married,Star,3964.53,Standard,2016,2,,,28,30777,30777.0,1145,24,2018-12-31,0
357549,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,76410.0,Single,Star,3964.73,Standard,2018,9,,,0,0,0.0,0,24,,999
330694,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,105053.0,Married,Aurora,6172.91,2018 Promotion,2018,2,,,38,67690,101535.0,500,11,2018-11-30,1
910875,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84914.0,Married,Star,3966.13,Standard,2012,11,,,32,51583,51583.0,483,24,2018-12-31,0
501704,Canada,Quebec,Hull,J8Y 3Z5,Male,College,73455.0,Divorced,Star,3974.86,Standard,2013,5,,,39,41150,41150.0,3593,24,2018-11-30,1
529098,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,73455.0,Divorced,Star,3974.86,Standard,2017,10,,,24,36853,36853.0,1682,24,2018-11-30,1
265297,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,60519.0,Married,Star,3978.67,Standard,2018,7,,,11,16640,16640.0,0,24,2018-12-31,0
567875,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,102457.0,Married,Star,3979.72,Standard,2017,5,,,15,24199,24199.0,0,24,2018-12-31,0
688524,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,103862.0,Married,Star,3980.42,Standard,2013,3,,,24,40288,40288.0,3244,24,2018-12-31,0
269070,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,93153.0,Married,Star,3985.32,Standard,2013,1,,,42,56484,56484.0,1300,24,2018-12-31,0
387705,Canada,Quebec,Hull,J8Y 3Z5,Female,Master,93153.0,Married,Star,3985.32,Standard,2013,4,,,45,68743,68743.0,1626,24,2018-11-30,1
923293,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,86793.0,Divorced,Star,3985.55,Standard,2016,6,,,41,52419,52419.0,850,24,2018-12-31,0
283314,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,72127.0,Married,Star,3991.73,Standard,2013,4,2015.0,2.0,0,0,0.0,0,24,,999
322102,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,73455.0,Married,Star,3992.58,Standard,2013,8,2014.0,4.0,0,0,0.0,0,24,,999
789157,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,73455.0,Single,Star,3995.36,Standard,2018,9,,,3,6690,6690.0,0,24,2018-11-30,1
654748,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,65721.0,Married,Star,3996.77,Standard,2017,4,2017.0,12.0,12,16433,16433.0,0,24,2017-12-31,11
984713,Canada,Ontario,Sudbury,M5V 1G5,Female,College,73455.0,Single,Star,3997.48,Standard,2018,8,,,5,9871,9871.0,556,24,2018-11-30,1
114835,Canada,Ontario,Toronto,M1R 4K3,Female,Master,101354.0,Divorced,Star,4001.52,Standard,2017,7,,,30,42008,42008.0,0,24,2018-12-31,0
328936,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,53118.0,Married,Star,4005.72,Standard,2015,3,,,45,64695,64695.0,906,24,2018-08-31,4
845864,Canada,British Columbia,Vancouver,V5R 1W3,Female,Doctor,115440.0,Married,Star,4013.85,Standard,2013,4,,,41,54793,54793.0,1376,24,2018-12-31,0
645265,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,73313.0,Married,Star,4013.95,Standard,2013,3,,,32,45483,45483.0,381,24,2018-12-31,0
223587,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,100167.0,Married,Star,4013.96,Standard,2017,8,,,28,45681,45681.0,554,24,2018-12-31,0
158560,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2015,12,,,33,47353,47353.0,1743,24,2018-12-31,0
417584,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2014,5,,,36,52014,52014.0,607,24,2018-10-31,2
566033,Canada,Ontario,Toronto,M2P 4F6,Male,College,73455.0,Married,Star,4015.21,Standard,2015,6,2016.0,7.0,0,0,0.0,0,24,,999
472521,Canada,Alberta,Edmonton,T9G 1W3,Male,College,73455.0,Married,Aurora,6265.34,2018 Promotion,2018,3,,,47,38492,57738.0,389,11,2018-12-31,0
425854,Canada,Ontario,Toronto,P1J 8T7,Female,High School or Below,39079.0,Married,Star,4016.13,Standard,2016,11,,,37,52145,52145.0,630,24,2018-06-30,6
174896,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,73455.0,Single,Star,4016.54,Standard,2015,4,2015.0,12.0,0,0,0.0,0,24,,999
695855,Canada,Quebec,Montreal,H2T 2J6,Female,College,73455.0,Divorced,Star,4019.38,Standard,2013,4,,,34,44046,44046.0,436,24,2018-12-31,0
699511,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,73455.0,Divorced,Star,4019.38,Standard,2014,7,,,28,43734,43734.0,0,24,2018-09-30,3
377322,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,62518.0,Married,Star,4023.81,Standard,2016,5,,,54,99708,99708.0,2450,24,2018-11-30,1
511053,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,62518.0,Married,Star,4023.81,Standard,2015,3,,,26,40795,40795.0,802,24,2018-12-31,0
890753,Canada,Quebec,Montreal,H2Y 2W2,Male,College,73455.0,Married,Star,4025.1,Standard,2017,9,,,23,39053,39053.0,723,24,2018-11-30,1
796670,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,47536.0,Married,Star,4035.68,Standard,2014,2,,,45,70442,70442.0,814,24,2018-12-31,0
556136,Canada,Quebec,Montreal,H4G 3T4,Female,College,73455.0,Married,Star,4035.77,Standard,2017,1,,,39,49857,49857.0,521,24,2018-12-31,0
513081,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,98320.0,Married,Star,4037.5,Standard,2015,11,,,24,35692,35692.0,2148,24,2018-12-31,0
930718,Canada,Quebec,Montreal,H2T 2J6,Female,High School or Below,63577.0,Married,Star,4037.55,Standard,2015,7,,,53,66249,66249.0,1088,24,2018-10-31,2
235872,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,89057.0,Single,Star,4046.94,Standard,2013,3,,,44,56477,56477.0,1221,24,2018-12-31,0
881142,Canada,British Columbia,Vancouver,V1E 4R6,Female,Doctor,89057.0,Single,Star,4046.94,Standard,2016,9,2017.0,5.0,9,9859,9859.0,870,24,2017-05-31,19
295147,Canada,British Columbia,Kelowna,V09 2E9,Male,Bachelor,99814.0,Married,Star,4048.16,Standard,2017,5,,,32,56656,56656.0,2024,24,2018-11-30,1
306110,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,64587.0,Married,Star,4053.37,Standard,2013,5,,,29,33602,33602.0,1639,24,2018-12-31,0
295217,Canada,Ontario,Toronto,M1R 4K3,Female,Doctor,67411.0,Divorced,Star,4059.57,Standard,2016,6,,,29,51310,51310.0,1767,24,2018-09-30,3
967300,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,62630.0,Single,Aurora,6364.9,2018 Promotion,2018,3,2018.0,11.0,36,47688,71532.0,536,11,2018-06-30,6
591731,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,51370.0,Married,Star,4064.18,Standard,2013,9,,,47,70582,70582.0,645,24,2018-12-31,0
326905,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,73455.0,Married,Star,4068.09,Standard,2017,2,,,34,53745,53745.0,704,24,2018-10-31,2
375511,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,59300.0,Single,Star,4070.05,Standard,2014,7,,,50,75498,75498.0,1436,24,2018-10-31,2
485283,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,102479.0,Single,Star,4072.85,Standard,2017,9,,,19,37817,37817.0,564,24,2018-12-31,0
920716,Canada,Alberta,Peace River,T9O 2W2,Female,College,73455.0,Single,Aurora,7098.91,2018 Promotion,2018,4,,,43,80389,120583.5,697,11,2018-12-31,0
797685,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,73455.0,Married,Star,4079.13,Standard,2017,6,,,31,47547,47547.0,1407,24,2018-12-31,0
216467,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Doctor,90995.0,Married,Star,4083.56,Standard,2014,7,,,32,47261,47261.0,920,24,2018-12-31,0
958839,Canada,Quebec,Montreal,H4G 3T4,Male,Doctor,90995.0,Married,Star,4083.56,Standard,2018,8,,,9,21320,21320.0,0,24,2018-11-30,1
539673,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,49558.0,Married,Star,4087.51,Standard,2015,2,2018.0,6.0,26,37427,37427.0,498,24,2018-02-28,10
746226,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,63501.0,Married,Star,4089.04,Standard,2018,1,,,6,4347,4347.0,0,48,2018-12-31,0
484718,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,76367.0,Single,Star,4089.46,Standard,2012,6,,,36,63812,63812.0,2102,24,2018-11-30,1
528492,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,60360.0,Married,Star,4090.75,Standard,2015,6,2018.0,11.0,41,79740,79740.0,821,24,2018-11-30,1
995091,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,55454.0,Married,Star,4095.2,Standard,2017,9,,,16,25024,25024.0,506,24,2018-12-31,0
632793,Canada,Quebec,Hull,J8Y 3Z5,Female,High School or Below,60370.0,Single,Star,4097.37,Standard,2016,6,,,33,39155,39155.0,506,24,2018-12-31,0
912220,Canada,British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,60370.0,Single,Star,4097.37,Standard,2013,8,2014.0,4.0,0,0,0.0,0,24,,999
382197,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,69367.0,Married,Star,4100.47,Standard,2017,10,2018.0,6.0,13,23750,23750.0,461,24,2018-05-31,7
705196,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,73455.0,Single,Star,4101.94,Standard,2013,11,,,57,91665,91665.0,1808,24,2018-12-31,0
123094,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,92223.0,Married,Star,4103.85,Standard,2018,1,,,24,33723,33723.0,337,24,2018-12-31,0
366540,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,90077.0,Married,Aurora,7288.88,2018 Promotion,2018,3,,,69,127815,191722.5,1258,11,2018-12-31,0
119488,Canada,Quebec,Tremblant,H5Y 2S9,Female,College,73455.0,Single,Star,4108.26,Standard,2017,6,,,33,38383,38383.0,0,24,2018-12-31,0
287750,Canada,Ontario,Ottawa,K1F 2R2,Female,College,73455.0,Single,Star,4109.31,Standard,2012,8,,,48,62074,62074.0,1694,24,2018-11-30,1
735846,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,95318.0,Married,Star,4109.79,Standard,2012,8,,,40,54771,54771.0,2199,24,2018-12-31,0
606026,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,55207.0,Single,Star,4110.62,Standard,2015,7,,,50,73750,73750.0,1084,24,2018-11-30,1
460291,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,55476.0,Divorced,Star,4111.2,Standard,2015,9,,,41,71374,71374.0,0,24,2018-12-31,0
743001,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,79533.0,Married,Star,4111.89,Standard,2017,5,,,29,41620,41620.0,1191,24,2018-12-31,0
869799,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,79533.0,Married,Star,4111.89,Standard,2015,3,,,29,42824,42824.0,688,24,2018-10-31,2
520321,Canada,Ontario,London,M5B 3E4,Female,Doctor,237245.0,Married,Star,4112.84,Standard,2015,9,2016.0,5.0,0,0,0.0,0,24,,999
279419,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,73455.0,Single,Star,4117.37,Standard,2013,7,,,81,132093,132093.0,4221,48,2018-12-31,0
170585,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2013,8,,,34,51002,51002.0,405,24,2018-12-31,0
188340,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2017,4,,,51,60772,60772.0,1382,24,2018-12-31,0
670817,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2016,12,,,44,64176,64176.0,682,24,2018-12-31,0
509513,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,73455.0,Single,Star,4121.25,Standard,2012,12,,,49,93408,93408.0,576,24,2018-12-31,0
779247,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,86987.0,Married,Star,4122.57,Standard,2012,9,,,50,57896,57896.0,536,24,2018-12-31,0
111255,Canada,Quebec,Hull,J8Y 3Z5,Male,High School or Below,70272.0,Married,Star,4122.96,Standard,2013,3,,,48,65856,65856.0,0,24,2018-12-31,0
763061,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,56845.0,Married,Star,4126.61,Standard,2014,4,,,16,28415,28415.0,515,24,2018-05-31,7
766335,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,67756.0,Married,Aurora,7482.49,2018 Promotion,2018,2,,,31,46984,70476.0,509,11,2018-11-30,1
428919,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,58209.0,Divorced,Star,4139.9,Standard,2015,7,,,35,54829,54829.0,0,24,2018-10-31,2
139863,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,67223.0,Married,Star,4142.56,Standard,2015,10,,,30,56645,56645.0,857,24,2018-12-31,0
695755,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,79088.0,Married,Star,4144.87,Standard,2012,4,,,0,0,0.0,0,24,,999
355331,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,73455.0,Divorced,Star,4145.02,Standard,2013,7,,,51,75018,75018.0,2592,24,2018-12-31,0
578837,Canada,Ontario,Toronto,P5S 6R4,Male,College,73455.0,Single,Star,4152.65,Standard,2012,5,,,25,34177,34177.0,1028,24,2018-08-31,4
603248,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,73455.0,Married,Star,4157.7,Standard,2016,2,2016.0,10.0,0,0,0.0,0,24,,999
467182,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,102347.0,Married,Star,4160.02,Standard,2013,12,2018.0,10.0,46,64257,64257.0,1762,24,2018-10-31,2
601407,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,72809.0,Married,Star,4165.17,Standard,2015,9,,,37,56805,56805.0,0,24,2018-12-31,0
700871,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,74567.0,Married,Star,4165.25,Standard,2015,12,,,39,52323,52323.0,0,24,2018-12-31,0
203809,Canada,Alberta,Edmonton,T3G 6Y6,Female,High School or Below,54160.0,Married,Star,4165.35,Standard,2012,7,,,0,0,0.0,0,24,,999
705589,Canada,Ontario,Toronto,P1L 8X8,Female,College,73455.0,Single,Star,4165.99,Standard,2012,5,,,44,71469,71469.0,426,24,2018-12-31,0
