Loyalty Number,CLV,Churn_Probability,Risk_Level,Value_Segment,Revenue_At_Risk,Priority_Score,Recommended_Action,Communication_Channel,Action_Timeline
105700,7944.97,0.9999335,Critical Risk,Gold,7944.441510260105,7944.441510260105,Free Upgrade Voucher,Email + SMS,Within 24 Hours
480158,3123.08,0.12892766,Low Risk,Bronze,402.6514056640863,402.6514056640863,No Action Required,None,No Immediate Action
288530,13552.78,0.18709059,Low Risk,Premium,2535.5976144203546,2535.5976144203546,No Action Required,None,No Immediate Action
499945,9048.98,0.12410375,Low Risk,Premium,1123.0123273174463,1123.0123273174463,No Action Required,None,No Immediate Action
485281,8033.91,0.23963518,Low Risk,Gold,1925.2075043611228,1925.2075043611228,No Action Required,None,No Immediate Action
304601,4595.52,0.10712717,Low Risk,Silver,492.30503979921343,492.30503979921343,No Action Required,None,No Immediate Action
464220,8900.42,0.10249589,Low Risk,Gold,912.2564371027053,912.2564371027053,No Action Required,None,No Immediate Action
233051,5096.67,0.99993455,Critical Risk,Silver,5096.3364438450335,5096.3364438450335,Double Loyalty Points Campaign,App Notification,Within 24 Hours
485674,4943.39,0.09066232,Low Risk,Silver,448.179220590666,448.179220590666,No Action Required,None,No Immediate Action
500437,8522.76,0.9998827,Critical Risk,Gold,8521.760263710023,8521.760263710023,Free Upgrade Voucher,Email + SMS,Within 24 Hours
460272,17006.0,0.08203422,Low Risk,Premium,1395.0739926248789,1395.0739926248789,No Action Required,None,No Immediate Action
277356,4830.91,0.8323812,Critical Risk,Silver,4021.1586091214417,4021.1586091214417,Double Loyalty Points Campaign,App Notification,Within 24 Hours
483154,5595.97,0.077644736,Low Risk,Silver,434.4976109340787,434.4976109340787,No Action Required,None,No Immediate Action
464248,2968.08,0.12756084,Low Risk,Bronze,378.61077518820764,378.61077518820764,No Action Required,None,No Immediate Action
227433,8329.04,0.9999323,Critical Risk,Gold,8328.47603340149,8328.47603340149,Free Upgrade Voucher,Email + SMS,Within 24 Hours
464114,9468.51,0.87994516,Critical Risk,Premium,8331.769537049533,8331.769537049533,Personal Relationship Manager Call,Phone Call,Within 24 Hours
292843,7635.42,0.07952694,Low Risk,Gold,607.2215767465532,607.2215767465532,No Action Required,None,No Immediate Action
307233,4965.49,0.11198622,Low Risk,Silver,556.0664549666643,556.0664549666643,No Action Required,None,No Immediate Action
497194,4979.08,0.07861644,Low Risk,Silver,391.4375455498695,391.4375455498695,No Action Required,None,No Immediate Action
304764,9429.08,0.81428045,Critical Risk,Premium,7677.915508730412,7677.915508730412,Personal Relationship Manager Call,Phone Call,Within 24 Hours
293663,3122.98,0.9485276,Critical Risk,Bronze,2962.2326447343826,2962.2326447343826,Double Loyalty Points Campaign,App Notification,Within 24 Hours
480846,5616.85,0.1359844,Low Risk,Silver,763.8040101401508,763.8040101401508,No Action Required,None,No Immediate Action
279634,2961.31,0.91213775,Critical Risk,Bronze,2701.122631008625,2701.122631008625,Double Loyalty Points Campaign,App Notification,Within 24 Hours
277033,10302.9,0.20900054,Low Risk,Premium,2153.3116920009256,2153.3116920009256,No Action Required,None,No Immediate Action
464137,4466.98,0.106279075,Low Risk,Silver,474.7465030944347,474.7465030944347,No Action Required,None,No Immediate Action
465197,5904.85,0.096441515,Low Risk,Gold,569.4726786080748,569.4726786080748,No Action Required,None,No Immediate Action
460110,8869.63,0.20474258,Low Risk,Gold,1815.9909356305002,1815.9909356305002,No Action Required,None,No Immediate Action
292957,3864.78,0.09081676,Low Risk,Bronze,350.98679219797253,350.98679219797253,No Action Required,None,No Immediate Action
460207,4988.58,0.13428739,Low Risk,Silver,669.9033737021684,669.9033737021684,No Action Required,None,No Immediate Action
231843,4896.27,0.08549334,Low Risk,Silver,418.5984811703861,418.5984811703861,No Action Required,None,No Immediate Action
464166,5077.32,0.10260408,Low Risk,Silver,520.9537663373351,520.9537663373351,No Action Required,None,No Immediate Action
483627,7200.66,0.12140878,Low Risk,Gold,874.2233666722476,874.2233666722476,No Action Required,None,No Immediate Action
496233,9415.9,0.19234006,Low Risk,Premium,1811.0547810152173,1811.0547810152173,No Action Required,None,No Immediate Action
278928,7054.78,0.19140197,Low Risk,Gold,1350.2988136681913,1350.2988136681913,No Action Required,None,No Immediate Action
274211,5794.1,0.118525274,Low Risk,Gold,686.7472906507552,686.7472906507552,No Action Required,None,No Immediate Action
303207,4974.8,0.16491063,Low Risk,Silver,820.397399097681,820.397399097681,No Action Required,None,No Immediate Action
226710,13333.39,0.12828226,Low Risk,Premium,1710.437454328388,1710.437454328388,No Action Required,None,No Immediate Action
277367,3590.69,0.12984249,Low Risk,Bronze,466.22413026660683,466.22413026660683,No Action Required,None,No Immediate Action
304643,4359.74,0.08621038,Low Risk,Silver,375.85483126446604,375.85483126446604,No Action Required,None,No Immediate Action
221993,9416.91,0.2155373,Low Risk,Premium,2029.6953062613309,2029.6953062613309,No Action Required,None,No Immediate Action
290091,6698.97,0.089220166,Low Risk,Gold,597.6832168114186,597.6832168114186,No Action Required,None,No Immediate Action
482681,7247.5,0.0974841,Low Risk,Gold,706.5159921720624,706.5159921720624,No Action Required,None,No Immediate Action
465260,5977.79,0.07641066,Low Risk,Gold,456.76687121652066,456.76687121652066,No Action Required,None,No Immediate Action
499963,9247.55,0.124837205,Low Risk,Premium,1154.43829337731,1154.43829337731,No Action Required,None,No Immediate Action
459737,5075.42,0.13148777,Low Risk,Silver,667.3556670978666,667.3556670978666,No Action Required,None,No Immediate Action
497106,2433.21,0.13914378,Low Risk,Bronze,338.56603662684563,338.56603662684563,No Action Required,None,No Immediate Action
480858,27789.69,0.9534014,Critical Risk,Premium,26494.728983014225,26494.728983014225,Personal Relationship Manager Call,Phone Call,Within 24 Hours
485280,6104.72,0.15126234,Low Risk,Gold,923.4142501306534,923.4142501306534,No Action Required,None,No Immediate Action
288612,2907.44,0.4507623,Medium Risk,Bronze,1310.56434640646,1310.56434640646,Targeted Email Campaign,None,Within 30 Days
307166,4617.39,0.09071694,Low Risk,Silver,418.87550610736014,418.87550610736014,No Action Required,None,No Immediate Action
998072,3151.16,0.86045086,Critical Risk,Bronze,2711.418344092369,2711.418344092369,Double Loyalty Points Campaign,App Notification,Within 24 Hours
279580,2839.3,0.101210296,Low Risk,Bronze,287.3663938701153,287.3663938701153,No Action Required,None,No Immediate Action
304726,6019.96,0.15554357,Low Risk,Gold,936.3660440731048,936.3660440731048,No Action Required,None,No Immediate Action
480074,7726.99,0.13403378,Low Risk,Gold,1035.6777107186615,1035.6777107186615,No Action Required,None,No Immediate Action
278916,13023.93,0.13768141,Low Risk,Premium,1793.1530424503983,1793.1530424503983,No Action Required,None,No Immediate Action
288164,7434.27,0.9998987,Critical Risk,Gold,7433.516701061726,7433.516701061726,Free Upgrade Voucher,Email + SMS,Within 24 Hours
270909,2188.66,0.20432235,Low Risk,Bronze,447.19216112881895,447.19216112881895,No Action Required,None,No Immediate Action
465241,17995.87,0.080417834,Low Risk,Premium,1447.188890346363,1447.188890346363,No Action Required,None,No Immediate Action
464117,7375.57,0.6483245,High Risk,Gold,4781.7626557111735,4781.7626557111735,Priority Lounge Access,Email,Within 7 Days
293676,4330.8,0.2147027,Low Risk,Silver,929.8344341397286,929.8344341397286,No Action Required,None,No Immediate Action
276648,20714.94,0.1699249,Low Risk,Premium,3519.984106674492,3519.984106674492,No Action Required,None,No Immediate Action
278932,2980.46,0.16953604,Low Risk,Bronze,505.2953834930062,505.2953834930062,No Action Required,None,No Immediate Action
975477,14349.86,0.08302039,Low Risk,Premium,1191.330960444212,1191.330960444212,No Action Required,None,No Immediate Action
480864,9877.3,0.10123019,Low Risk,Premium,999.8809478268026,999.8809478268026,No Action Required,None,No Immediate Action
465347,38055.21,0.17754138,Low Risk,Premium,6756.374315410852,6756.374315410852,No Action Required,None,No Immediate Action
304620,2144.92,0.9171477,Critical Risk,Bronze,1967.2084361433983,1967.2084361433983,Double Loyalty Points Campaign,App Notification,Within 24 Hours
303246,8262.88,0.07814347,Low Risk,Gold,645.6901153051853,645.6901153051853,No Action Required,None,No Immediate Action
460091,4037.55,0.12725416,Low Risk,Silver,513.7950266763568,513.7950266763568,No Action Required,None,No Immediate Action
999758,18690.34,0.90974206,Critical Risk,Premium,17003.38836367488,17003.38836367488,Personal Relationship Manager Call,Phone Call,Within 24 Hours
497108,2502.21,0.14691204,Low Risk,Bronze,367.6047714203596,367.6047714203596,No Action Required,None,No Immediate Action
464187,4574.55,0.08132607,Low Risk,Silver,372.0301618427038,372.0301618427038,No Action Required,None,No Immediate Action
996686,2397.04,0.16755508,Low Risk,Bronze,401.63622624039647,401.63622624039647,No Action Required,None,No Immediate Action
293685,6906.2,0.5651401,Medium Risk,Gold,3902.970752930641,3902.970752930641,Targeted Email Campaign,None,Within 30 Days
290356,2150.91,0.26038474,Low Risk,Bronze,560.0641377693414,560.0641377693414,No Action Required,None,No Immediate Action
221813,2906.3,0.10626023,Low Risk,Bronze,308.8241140849889,308.8241140849889,No Action Required,None,No Immediate Action
485258,7685.4,0.8184991,Critical Risk,Gold,6290.492893123626,6290.492893123626,Free Upgrade Voucher,Email + SMS,Within 24 Hours
500455,4829.57,0.124720424,Low Risk,Silver,602.3460201355815,602.3460201355815,No Action Required,None,No Immediate Action
290507,6218.66,0.3663493,Low Risk,Gold,2278.2017981523277,2278.2017981523277,No Action Required,None,No Immediate Action
998112,8491.86,0.114633664,Low Risk,Gold,973.4530301257969,973.4530301257969,No Action Required,None,No Immediate Action
222929,2444.9,0.1515992,Low Risk,Bronze,370.6448806077242,370.6448806077242,No Action Required,None,No Immediate Action
225930,2848.56,0.7208967,High Risk,Bronze,2053.5175632476808,2053.5175632476808,20% Bonus Miles Offer,Email,Within 7 Days
290517,4999.35,0.9999039,Critical Risk,Silver,4998.869649016858,4998.869649016858,Double Loyalty Points Campaign,App Notification,Within 24 Hours
232290,5318.9,0.1440225,Low Risk,Silver,766.0412462860345,766.0412462860345,No Action Required,None,No Immediate Action
288369,4463.0,0.14334288,Low Risk,Silver,639.7392841279507,639.7392841279507,No Action Required,None,No Immediate Action
290250,12208.12,0.54490566,Medium Risk,Premium,6652.273716926575,6652.273716926575,Targeted Email Campaign,None,Within 30 Days
996639,3399.13,0.0830776,Low Risk,Bronze,282.39156958691774,282.39156958691774,No Action Required,None,No Immediate Action
227303,13530.03,0.7749545,High Risk,Premium,10485.157604060769,10485.157604060769,Priority Lounge Access,Email,Within 7 Days
483125,21639.84,0.12437503,Low Risk,Premium,2691.455757815838,2691.455757815838,No Action Required,None,No Immediate Action
307178,9048.98,0.15939033,Low Risk,Premium,1442.319911210537,1442.319911210537,No Action Required,None,No Immediate Action
485557,6190.32,0.2092719,Low Risk,Gold,1295.459984089136,1295.459984089136,No Action Required,None,No Immediate Action
497070,2739.06,0.70411223,High Risk,Bronze,1928.605649446249,1928.605649446249,20% Bonus Miles Offer,Email,Within 7 Days
998192,4997.78,0.092926234,Low Risk,Silver,464.42487379491325,464.42487379491325,No Action Required,None,No Immediate Action
105992,5905.97,0.075418934,Low Risk,Gold,445.4219629709423,445.4219629709423,No Action Required,None,No Immediate Action
480259,15251.58,0.12475067,Low Risk,Premium,1902.6447674377262,1902.6447674377262,No Action Required,None,No Immediate Action
482777,5124.8,0.8982237,Critical Risk,Silver,4603.216808223725,4603.216808223725,Double Loyalty Points Campaign,App Notification,Within 24 Hours
500060,4942.87,0.11812223,Low Risk,Silver,583.8628145932406,583.8628145932406,No Action Required,None,No Immediate Action
483212,7163.54,0.99992764,Critical Risk,Gold,7163.0216459679605,7163.0216459679605,Free Upgrade Voucher,Email + SMS,Within 24 Hours
304117,6418.85,0.2399175,Low Risk,Gold,1539.9944564752282,1539.9944564752282,No Action Required,None,No Immediate Action
496675,4971.73,0.5121352,Medium Risk,Silver,2546.1979759448764,2546.1979759448764,Targeted Email Campaign,None,Within 30 Days
293266,5246.28,0.18005379,Low Risk,Silver,944.6125734955071,944.6125734955071,No Action Required,None,No Immediate Action
485397,4969.36,0.10413576,Low Risk,Silver,517.4880762130022,517.4880762130022,No Action Required,None,No Immediate Action
277188,6761.11,0.20325089,Low Risk,Gold,1374.2015911483763,1374.2015911483763,No Action Required,None,No Immediate Action
290200,2656.71,0.12687998,Low Risk,Bronze,337.0832989127934,337.0832989127934,No Action Required,None,No Immediate Action
233437,9918.7,0.7711702,High Risk,Premium,7649.005852001906,7649.005852001906,Priority Lounge Access,Email,Within 7 Days
464639,2452.49,0.7446695,High Risk,Bronze,1826.294494729638,1826.294494729638,20% Bonus Miles Offer,Email,Within 7 Days
459999,4170.69,0.19054148,Low Risk,Silver,794.6894285854696,794.6894285854696,No Action Required,None,No Immediate Action
304080,20498.83,0.91845685,Critical Risk,Premium,18827.290880422,18827.290880422,Personal Relationship Manager Call,Phone Call,Within 24 Hours
977693,2887.74,0.40179458,Medium Risk,Bronze,1160.278287972808,1160.278287972808,Targeted Email Campaign,None,Within 30 Days
977178,25030.38,0.16993208,Low Risk,Premium,4253.464594045579,4253.464594045579,No Action Required,None,No Immediate Action
279380,7294.49,0.17391117,Low Risk,Gold,1268.5932844085992,1268.5932844085992,No Action Required,None,No Immediate Action
480389,7057.46,0.33141205,Low Risk,Gold,2338.9272662633657,2338.9272662633657,No Action Required,None,No Immediate Action
464720,5884.31,0.1015524,Low Risk,Gold,597.5657852658629,597.5657852658629,No Action Required,None,No Immediate Action
279419,4117.37,0.06281459,Low Risk,Silver,258.6309220778942,258.6309220778942,No Action Required,None,No Immediate Action
480435,30118.66,0.7626534,High Risk,Premium,22970.09876672387,22970.09876672387,Priority Lounge Access,Email,Within 7 Days
496387,4379.93,0.2688816,Low Risk,Silver,1177.6825388720633,1177.6825388720633,No Action Required,None,No Immediate Action
307321,4693.75,0.9011427,Critical Risk,Silver,4229.738625138998,4229.738625138998,Double Loyalty Points Campaign,App Notification,Within 24 Hours
307296,6243.14,0.20910974,Low Risk,Gold,1305.5013726261259,1305.5013726261259,No Action Required,None,No Immediate Action
496728,4825.65,0.11845131,Low Risk,Silver,571.6045746423304,571.6045746423304,No Action Required,None,No Immediate Action
290249,4815.85,0.071465306,Low Risk,Silver,344.1661938231439,344.1661938231439,No Action Required,None,No Immediate Action
290445,3420.45,0.12780854,Low Risk,Bronze,437.16272426694627,437.16272426694627,No Action Required,None,No Immediate Action
279231,9384.65,0.20757896,Low Risk,Premium,1948.055859568715,1948.055859568715,No Action Required,None,No Immediate Action
464606,7429.08,0.06888932,Low Risk,Gold,511.7842686581612,511.7842686581612,No Action Required,None,No Immediate Action
276484,14962.37,0.99989974,Critical Risk,Premium,14960.869947408439,14960.869947408439,Personal Relationship Manager Call,Phone Call,Within 24 Hours
231992,19896.42,0.32991046,Low Risk,Premium,6564.037017534971,6564.037017534971,No Action Required,None,No Immediate Action
459948,3238.93,0.14350608,Low Risk,Bronze,464.8061474099755,464.8061474099755,No Action Required,None,No Immediate Action
485283,4072.85,0.25281182,Low Risk,Silver,1029.6646182969212,1029.6646182969212,No Action Required,None,No Immediate Action
225891,7582.11,0.10911254,Low Risk,Gold,827.3032685076445,827.3032685076445,No Action Required,None,No Immediate Action
464962,23706.11,0.106648885,Low Risk,Premium,2528.2301923990995,2528.2301923990995,No Action Required,None,No Immediate Action
288384,36897.8,0.108852476,Low Risk,Premium,4016.416884583235,4016.416884583235,No Action Required,None,No Immediate Action
105688,5507.06,0.11338794,Low Risk,Silver,624.4342016005517,624.4342016005517,No Action Required,None,No Immediate Action
276494,5333.04,0.086451754,Low Risk,Silver,461.0506620132923,461.0506620132923,No Action Required,None,No Immediate Action
482882,12840.43,0.20168173,Low Risk,Premium,2589.6801765525342,2589.6801765525342,No Action Required,None,No Immediate Action
270969,6618.02,0.32551688,Low Risk,Gold,2154.277219256163,2154.277219256163,No Action Required,None,No Immediate Action
482938,3808.12,0.86008716,Critical Risk,Bronze,3275.3151016330717,3275.3151016330717,Double Loyalty Points Campaign,App Notification,Within 24 Hours
496686,8663.36,0.78215766,High Risk,Gold,6776.113381271362,6776.113381271362,Priority Lounge Access,Email,Within 7 Days
290184,2241.46,0.8360317,Critical Risk,Bronze,1873.9315590047836,1873.9315590047836,Double Loyalty Points Campaign,App Notification,Within 24 Hours
485300,3653.7,0.43674242,Medium Risk,Bronze,1595.7257980942725,1595.7257980942725,Targeted Email Campaign,None,Within 30 Days
293343,8110.54,0.93521017,Critical Risk,Gold,7585.059478904009,7585.059478904009,Free Upgrade Voucher,Email + SMS,Within 24 Hours
307619,2727.52,0.37831095,Low Risk,Bronze,1031.8506785535812,1031.8506785535812,No Action Required,None,No Immediate Action
500115,7124.2,0.31208062,Low Risk,Gold,2223.3247652530667,2223.3247652530667,No Action Required,None,No Immediate Action
307622,4708.2,0.15431714,Low Risk,Silver,726.5559612751007,726.5559612751007,No Action Required,None,No Immediate Action
482922,21205.38,0.38421223,Low Risk,Premium,8147.366246096492,8147.366246096492,No Action Required,None,No Immediate Action
464828,8720.46,0.78679156,High Risk,Gold,6861.184353775978,6861.184353775978,Priority Lounge Access,Email,Within 7 Days
226643,2877.81,0.17154191,Low Risk,Bronze,493.6650365178287,493.6650365178287,No Action Required,None,No Immediate Action
279408,5719.09,0.07288903,Low Risk,Silver,416.8589224666357,416.8589224666357,No Action Required,None,No Immediate Action
464799,3432.96,0.17833935,Low Risk,Bronze,612.2318455123901,612.2318455123901,No Action Required,None,No Immediate Action
290395,5288.17,0.076758385,Low Risk,Silver,405.9113872432709,405.9113872432709,No Action Required,None,No Immediate Action
975309,2606.05,0.13950826,Low Risk,Bronze,363.5655069060624,363.5655069060624,No Action Required,None,No Immediate Action
303682,5678.05,0.105116755,Low Risk,Silver,596.8581894233823,596.8581894233823,No Action Required,None,No Immediate Action
485330,5292.2,0.31832528,Low Risk,Silver,1684.641052865982,1684.641052865982,No Action Required,None,No Immediate Action
459971,6117.03,0.144069,Low Risk,Gold,881.2744016678631,881.2744016678631,No Action Required,None,No Immediate Action
973524,3135.41,0.08399435,Low Risk,Bronze,263.3567290955037,263.3567290955037,No Action Required,None,No Immediate Action
293496,3567.5,0.15635733,Low Risk,Bronze,557.8047857061028,557.8047857061028,No Action Required,None,No Immediate Action
288419,4896.27,0.1338653,Low Risk,Silver,655.4406369620563,655.4406369620563,No Action Required,None,No Immediate Action
483274,32227.08,0.99993503,Critical Risk,Premium,32224.986236815454,32224.986236815454,Personal Relationship Manager Call,Phone Call,Within 24 Hours
223018,5757.44,0.9241529,Critical Risk,Silver,5320.754934234619,5320.754934234619,Double Loyalty Points Campaign,App Notification,Within 24 Hours
500248,7092.64,0.20202664,Low Risk,Gold,1432.9021953630447,1432.9021953630447,No Action Required,None,No Immediate Action
271043,6765.8,0.09737922,Low Risk,Gold,658.8483436733485,658.8483436733485,No Action Required,None,No Immediate Action
270248,3382.22,0.21541415,Low Risk,Bronze,728.5780516532063,728.5780516532063,No Action Required,None,No Immediate Action
999982,2631.56,0.61185426,High Risk,Bronze,1610.1311838126182,1610.1311838126182,20% Bonus Miles Offer,Email,Within 7 Days
303621,2224.09,0.9999236,Critical Risk,Bronze,2223.9200502669814,2223.9200502669814,Double Loyalty Points Campaign,App Notification,Within 24 Hours
288451,5065.94,0.85567784,Critical Risk,Silver,4334.81261244297,4334.81261244297,Double Loyalty Points Campaign,App Notification,Within 24 Hours
464771,6259.48,0.4564612,Medium Risk,Gold,2857.209696950912,2857.209696950912,Targeted Email Campaign,None,Within 30 Days
464959,26197.41,0.13840647,Low Risk,Premium,3625.8910521925986,3625.8910521925986,No Action Required,None,No Immediate Action
459991,8006.22,0.3367534,Low Risk,Gold,2696.1217915767434,2696.1217915767434,No Action Required,None,No Immediate Action
277091,4960.97,0.12249937,Low Risk,Silver,607.7156950487941,607.7156950487941,No Action Required,None,No Immediate Action
485383,4770.26,0.06256878,Low Risk,Silver,298.46933087810874,298.46933087810874,No Action Required,None,No Immediate Action
496668,8621.17,0.91107875,Critical Risk,Gold,7854.564796510339,7854.564796510339,Free Upgrade Voucher,Email + SMS,Within 24 Hours
279409,4784.42,0.1371032,Low Risk,Silver,655.959291946888,655.959291946888,No Action Required,None,No Immediate Action
303934,3644.83,0.11130657,Low Risk,Bronze,405.69352724738417,405.69352724738417,No Action Required,None,No Immediate Action
496403,2844.85,0.86361563,Critical Risk,Bronze,2456.8569308578967,2456.8569308578967,Double Loyalty Points Campaign,App Notification,Within 24 Hours
480275,27580.55,0.12896402,Low Risk,Premium,3556.8986515097317,3556.8986515097317,No Action Required,None,No Immediate Action
273414,3013.44,0.1287662,Low Risk,Bronze,388.0291996049881,388.0291996049881,No Action Required,None,No Immediate Action
232022,8044.87,0.1780498,Low Risk,Gold,1432.3875168919562,1432.3875168919562,No Action Required,None,No Immediate Action
975497,2615.3,0.11165587,Low Risk,Bronze,292.0135931231082,292.0135931231082,No Action Required,None,No Immediate Action
277281,7643.07,0.14082448,Low Risk,Gold,1076.3313724543154,1076.3313724543154,No Action Required,None,No Immediate Action
998580,9767.94,0.0873885,Low Risk,Premium,853.6056302699448,853.6056302699448,No Action Required,None,No Immediate Action
480239,2698.01,0.078154296,Low Risk,Bronze,210.8610712954402,210.8610712954402,No Action Required,None,No Immediate Action
232137,9246.22,0.1283761,Low Risk,Premium,1186.9936308604479,1186.9936308604479,No Action Required,None,No Immediate Action
227398,16464.37,0.60471916,High Risk,Premium,9956.320029048919,9956.320029048919,Priority Lounge Access,Email,Within 7 Days
977676,3044.0,0.95573574,Critical Risk,Bronze,2909.259601831436,2909.259601831436,Double Loyalty Points Campaign,App Notification,Within 24 Hours
496830,2594.91,0.9998858,Critical Risk,Bronze,2594.613654792309,2594.613654792309,Double Loyalty Points Campaign,App Notification,Within 24 Hours
500026,2316.8,0.17538844,Low Risk,Bronze,406.3399389266968,406.3399389266968,No Action Required,None,No Immediate Action
279430,4508.86,0.08432806,Low Risk,Silver,380.2234293822944,380.2234293822944,No Action Required,None,No Immediate Action
303396,3090.13,0.9999386,Critical Risk,Bronze,3089.9402883160114,3089.9402883160114,Double Loyalty Points Campaign,App Notification,Within 24 Hours
496482,4463.0,0.5648707,Medium Risk,Silver,2521.018001675606,2521.018001675606,Targeted Email Campaign,None,Within 30 Days
483623,7082.83,0.096460626,Low Risk,Gold,683.2142123176158,683.2142123176158,No Action Required,None,No Immediate Action
482940,2839.8,0.06483574,Low Risk,Bronze,184.1205404609442,184.1205404609442,No Action Required,None,No Immediate Action
304528,2495.46,0.99988544,Critical Risk,Bronze,2495.174119784832,2495.174119784832,Double Loyalty Points Campaign,App Notification,Within 24 Hours
480675,5507.24,0.28960523,Low Risk,Silver,1594.925507377386,1594.925507377386,No Action Required,None,No Immediate Action
496357,8382.63,0.10170559,Low Risk,Gold,852.5603164925426,852.5603164925426,No Action Required,None,No Immediate Action
496820,9247.46,0.7441769,High Risk,Premium,6881.74633972764,6881.74633972764,Priority Lounge Access,Email,Within 7 Days
277341,8162.62,0.523044,Medium Risk,Gold,4269.409334757328,4269.409334757328,Targeted Email Campaign,None,Within 30 Days
274204,10952.13,0.10876902,Low Risk,Premium,1191.252468131706,1191.252468131706,No Action Required,None,No Immediate Action
465095,6692.14,0.19226089,Low Risk,Gold,1286.636800429225,1286.636800429225,No Action Required,None,No Immediate Action
485486,3309.12,0.99993515,Critical Risk,Bronze,3308.9054040527344,3308.9054040527344,Double Loyalty Points Campaign,App Notification,Within 24 Hours
225920,10425.99,0.19172166,Low Risk,Premium,1998.8881399597228,1998.8881399597228,No Action Required,None,No Immediate Action
460043,5245.68,0.122061394,Low Risk,Silver,640.2950140911341,640.2950140911341,No Action Required,None,No Immediate Action
464385,2344.23,0.24055895,Low Risk,Bronze,563.925512265265,563.925512265265,No Action Required,None,No Immediate Action
278983,13623.62,0.10615479,Low Risk,Premium,1446.2125475339592,1446.2125475339592,No Action Required,None,No Immediate Action
307256,6503.4,0.14156811,Low Risk,Gold,920.6740426272154,920.6740426272154,No Action Required,None,No Immediate Action
304600,5553.8,0.06529553,Low Risk,Silver,362.6383275419474,362.6383275419474,No Action Required,None,No Immediate Action
483198,8656.4,0.17398207,Low Risk,Gold,1506.0583811938761,1506.0583811938761,No Action Required,None,No Immediate Action
480760,23295.06,0.11512348,Low Risk,Premium,2681.8083870166543,2681.8083870166543,No Action Required,None,No Immediate Action
496831,7294.58,0.44663522,Medium Risk,Gold,3258.0163173907995,3258.0163173907995,Targeted Email Campaign,None,Within 30 Days
279468,6961.95,0.073859975,Low Risk,Gold,514.2094511546194,514.2094511546194,No Action Required,None,No Immediate Action
464256,25464.82,0.080770835,Low Risk,Premium,2056.814781665504,2056.814781665504,No Action Required,None,No Immediate Action
